model_name,norm_raw,norm_temp_scaled
ResNeXt101_32X8D,12.829452245405447,19.740859867825833
ConvNeXt_Base,17.2667957886963,22.757093255370823
MNASNet0_75,22.72462828432325,41.847416921237716
EfficientNet_B1,22.546249725969002,30.068025005424992
RegNet_X_400MF,18.716487317765,31.59803403350185
RegNet_X_3_2GF,16.873905828663997,22.337887555672072
ResNet152,15.153708225972181,18.91004008151942
ConvNeXt_Tiny,20.543940571189342,27.175624344815706
Swin_T,21.820115110549295,25.71506773824841
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,24.484491580328925,30.289621262007056
EfficientNet_B4,30.04060268426405,43.04364372305301
ResNeXt101_64X4D,12.477167127340842,19.38021242040189
ShuffleNet_V2_X1_0,76.70367835003067,64.29765900027343
ConvNeXt_Small,18.05395622198142,22.86472201860823
ConvNeXt_Large,16.984483286976147,21.08787876586037
EfficientNet_B7,19.821103932047723,24.79698307978534
Swin_S,19.291218748120155,21.495759422396727
RegNet_X_16GF,16.23435894757064,19.166300161168593
ResNeXt50_32X4D,16.385715599983705,20.636946978412077
tf_efficientnetv2_l.in21k_ft_in1k,24.506521429512354,30.4239339449643
Swin_B,19.038770963032224,21.343185815842475
RegNet_X_800MF,15.976057458274939,28.463081747766633
EfficientNet_B3,43.03782413942409,54.228394725460106
Swin_V2_B,17.610866988517646,20.546408481000924
EfficientNet_B6,20.603933027090132,26.00739849112472
EfficientNet_B0,33.065491891965344,39.14197900819289
ResNet50,15.131553959038976,23.66766153276363
RegNet_X_32GF,16.583224069075992,18.60908600035402
MNASNet0_5,45.96703932959163,57.080082437092926
ShuffleNet_V2_X2_0,20.614621769677786,32.15137689262568
EfficientNet_B5,21.460815194167388,26.77312770581863
MNASNet1_0,108.02667812955207,90.33772680754869
EfficientNet_V2_S,16.69252296296053,21.121455190549554
MNASNet1_3,19.467535564192385,32.99053187080972
ShuffleNet_V2_X1_5,22.19859146001427,36.81700266381529
EfficientNet_V2_L,24.235416383546312,30.083473700944182
ResNet101,16.0867393324159,20.166540003054397
Swin_V2_T,19.148593093354556,22.756185338925658
ShuffleNet_V2_X0_5,78.14133866873452,70.68131798522032
EfficientNet_B2,29.774668453720995,35.36890926730701
EfficientNet_V2_M,15.718054909433548,21.130920442606488
RegNet_X_8GF,16.452183733113586,20.312550099378864
Swin_V2_S,17.524889950209392,20.54785911830266
RegNet_X_1_6GF,15.559937981528018,25.935323586726795
