model_name,norm_raw,norm_temp_scaled
ResNeXt101_32X8D,617.3485766566414,246.2701926541878
MNASNet0_75,185.95296738799848,133.1045148541963
EfficientNet_B1,129.4333487764542,81.10850896229246
RegNet_X_400MF,204.31735304784587,107.53438431276395
RegNet_X_3_2GF,286.142165207497,143.05360295241343
ResNet152,497.0633652903276,276.1498876591134
ConvNeXt_Tiny,85.84557219502815,64.03519241326897
Swin_T,167.5378203428955,88.13922395408258
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,95.12037109123519,52.96660204766406
ResNeXt101_64X4D,432.5659344596079,191.94154189720322
ShuffleNet_V2_X1_0,292.738989170571,196.35768910148425
ConvNeXt_Small,90.68420137167162,62.54776338163837
Swin_S,84.90235797206485,58.71983616971785
RegNet_X_16GF,577.4076673798711,256.4818050818517
ResNeXt50_32X4D,277.9627404101108,128.96401538473933
tf_efficientnetv2_l.in21k_ft_in1k,267.9972973126242,148.93913709480975
Swin_B,104.31013616587536,47.61212345233114
RegNet_X_800MF,212.95602372610168,122.17103081452427
Swin_V2_B,112.47261896603325,53.694053441298934
EfficientNet_B0,174.3450744144593,102.82424944167639
ResNet50,422.3348217872297,179.72030769370502
MNASNet0_5,216.96306846024297,154.0409213070447
ShuffleNet_V2_X2_0,455.28975698516786,266.6458589147145
EfficientNet_B5,76.82834073372078,58.82121103783786
MNASNet1_0,232.18517307879873,154.7934984034106
EfficientNet_V2_S,118.39072637810041,60.969143776144016
MNASNet1_3,199.8138830637947,108.0082963817275
ShuffleNet_V2_X1_5,416.34217252188284,225.21322708186221
ResNet101,563.6532920325435,250.46599595412852
Swin_V2_T,92.10037588894083,41.78222486005474
Swin_V2_B_4head,94.7075157850134,55.41718671238237
ShuffleNet_V2_X0_5,380.4080669002924,290.5585509891381
EfficientNet_B2,121.39163057482538,93.72758391572734
RegNet_X_8GF,293.25278504793494,150.76340499438476
Swin_V2_S,162.3173194087679,108.7567600053216
RegNet_X_1_6GF,370.87611376888475,161.2686424135828
