fl,fs,duo_norm_fl,duo_norm_fs
ConvNeXt_Base,ConvNeXt_Small,34.41547018835049,27.69796402058534
ConvNeXt_Base,ConvNeXt_Tiny,40.61342291636025,20.761558226726716
ConvNeXt_Base,EfficientNet_B0,50.35094370181674,46.99031866711768
ConvNeXt_Base,EfficientNet_B1,50.26259881851943,17.81128718643379
ConvNeXt_Base,EfficientNet_B2,49.500914015282696,47.66307722555757
ConvNeXt_Base,EfficientNet_B3,41.544203198128834,69.53584114877515
ConvNeXt_Base,EfficientNet_B4,35.35820397421943,25.311759486619017
ConvNeXt_Base,EfficientNet_B5,41.16430911882069,37.884857045164246
ConvNeXt_Base,MNASNet0_5,51.455135200584074,103.72690870801776
ConvNeXt_Base,MNASNet0_75,51.08866544264144,75.2738521212446
ConvNeXt_Base,MNASNet1_0,50.53448760787737,87.94524168382993
ConvNeXt_Base,MNASNet1_3,50.99765776147665,71.73003262769842
ConvNeXt_Base,RegNet_X_1_6GF,50.6098323718672,98.14200438499898
ConvNeXt_Base,RegNet_X_3_2GF,49.926311531251706,99.4063876532292
ConvNeXt_Base,RegNet_X_400MF,51.08054313014528,72.40806578746613
ConvNeXt_Base,RegNet_X_800MF,51.16000211797173,71.86397066238193
ConvNeXt_Base,RegNet_X_8GF,42.750252952534126,141.1997244166018
ConvNeXt_Base,ResNeXt50_32X4D,50.68672714585833,100.29814703637555
ConvNeXt_Base,ResNet101,42.58294001512394,154.65144123080157
ConvNeXt_Base,ResNet152,42.259077369764114,149.8890255214981
ConvNeXt_Base,ResNet50,50.58610399138156,104.37981647222551
ConvNeXt_Base,ShuffleNet_V2_X0_5,52.363121078498295,72.69443166431452
ConvNeXt_Base,ShuffleNet_V2_X1_0,51.94485757477348,60.12148809285626
ConvNeXt_Base,ShuffleNet_V2_X1_5,51.24590792675906,75.45535808610022
ConvNeXt_Base,ShuffleNet_V2_X2_0,51.1093121286654,89.8723270616484
ConvNeXt_Base,Swin_S,41.82480090455556,22.14834164308472
ConvNeXt_Base,Swin_T,41.99054014335249,21.9813743477918
ConvNeXt_Base,Swin_V2_S,40.451770815396614,24.141160399610346
ConvNeXt_Base,Swin_V2_T,41.77539701611593,23.57629998970279
Swin_V2_B,ConvNeXt_Base,23.03946547254449,40.994917997408436
Swin_V2_B,ConvNeXt_Small,23.060186929658002,38.59274071919877
Swin_V2_B,ConvNeXt_Tiny,28.89104245099511,34.154197572034775
Swin_V2_B,EfficientNet_B0,44.85122452690924,71.82164835515519
Swin_V2_B,EfficientNet_B1,44.48007888866307,27.407151668172105
Swin_V2_B,EfficientNet_B2,38.36840976582504,81.65209255047482
Swin_V2_B,EfficientNet_B3,33.78966614965851,96.94916101520796
Swin_V2_B,EfficientNet_B4,29.577545928310712,31.977340006899595
Swin_V2_B,EfficientNet_B5,37.35733828619015,47.159522129860655
Swin_V2_B,MNASNet0_5,53.838791425964935,114.67239401301536
Swin_V2_B,MNASNet0_75,46.19017442186934,118.54477241590227
Swin_V2_B,MNASNet1_0,45.44979007492723,127.67395058527514
Swin_V2_B,MNASNet1_3,45.84321552712949,110.01329587805635
Swin_V2_B,RegNet_X_16GF,37.81870832404713,229.06693748270519
Swin_V2_B,RegNet_X_1_6GF,45.020325378747685,157.30375139032412
Swin_V2_B,RegNet_X_3_2GF,43.915651165410424,162.7131104469614
Swin_V2_B,RegNet_X_400MF,46.18297132735312,103.90035756483861
Swin_V2_B,RegNet_X_800MF,45.967705134452416,118.8959131853527
Swin_V2_B,RegNet_X_8GF,38.523896343652225,198.1413981369313
Swin_V2_B,ResNeXt101_32X8D,37.775947776872265,221.08697863482223
Swin_V2_B,ResNeXt101_64X4D,43.73940903103912,172.7386157532548
Swin_V2_B,ResNeXt50_32X4D,45.02173100731579,170.601887308289
Swin_V2_B,ResNet101,37.85748854426261,225.24936429210715
Swin_V2_B,ResNet152,37.820035668097475,217.75797761018228
Swin_V2_B,ResNet50,45.261784473141084,165.99990618082947
Swin_V2_B,ShuffleNet_V2_X0_5,55.08757731568817,84.4932174782701
Swin_V2_B,ShuffleNet_V2_X1_0,54.279554477114175,73.13309625590715
