evaluatee,Acc,F1,Brier,NLL,ECE,CP_AUROC,AURC,E-AURC,SAC@90,SAC@91,SAC@92,SAC@93,SAC@94,SAC@95,SAC@96,SAC@97,SAC@98,SAC@99,dataset_name,dataset_dir,teacher_fl_name,teacher_fl_path,teacher_fl_source,teacher_fs_name,teacher_fs_path,teacher_fs_source,student_name,student_path,student_source,distillation_method,duo_mode,temperature,epochs,lr,soft_target_loss_weight,use_multi_transform
student_pre,0.8408,0.8387341505429585,0.0002397626870821585,0.6607045205609534,0.03899349644780159,0.8539900741282551,0.04674765093309965,0.033341922236327114,0.8745052631578948,0.8484842105263158,0.8229473684210526,0.7927578947368421,0.7574105263157894,0.7105894736842105,0.6524421052631579,0.5278105263157895,0.16806315789473683,0.003473684210526316,imagenet,/localscratch/timz.64290565.0/data/ind,convnext_base,checkpoints/imagenet/ff/ConvNeXt_Base.pth,torchvision,convnext_tiny,checkpoints/imagenet/ff/ConvNeXt_Tiny.pth,torchvision,convnext_base,checkpoints/imagenet/ff/ConvNeXt_Base.pth,torchvision,TargetMatching,asymmetric,3.0,3,0.0001,1.0,True
duo_teacher_pre,0.8406315789473684,0.8388136713143285,0.00023466485348227047,0.6340378942440876,0.02715674787759781,0.8607467129563924,0.04466484833734396,0.03122989654203253,0.8787789473684211,0.8546105263157895,0.8282105263157895,0.7971368421052631,0.7638736842105263,0.7218947368421053,0.6676842105263158,0.5629473684210526,0.22437894736842104,0.007263157894736842,imagenet,/localscratch/timz.64290565.0/data/ind,convnext_base,checkpoints/imagenet/ff/ConvNeXt_Base.pth,torchvision,convnext_tiny,checkpoints/imagenet/ff/ConvNeXt_Tiny.pth,torchvision,convnext_base,checkpoints/imagenet/ff/ConvNeXt_Base.pth,torchvision,TargetMatching,asymmetric,3.0,3,0.0001,1.0,True
teacher_fl_pre,0.8408,0.8387341505429585,0.0002397626870821585,0.6607045205609534,0.03899349644780159,0.8539900741282551,0.04674765093309965,0.033341922236327114,0.8745052631578948,0.8484842105263158,0.8229473684210526,0.7927578947368421,0.7574105263157894,0.7105894736842105,0.6524421052631579,0.5278105263157895,0.16806315789473683,0.003473684210526316,imagenet,/localscratch/timz.64290565.0/data/ind,convnext_base,checkpoints/imagenet/ff/ConvNeXt_Base.pth,torchvision,convnext_tiny,checkpoints/imagenet/ff/ConvNeXt_Tiny.pth,torchvision,convnext_base,checkpoints/imagenet/ff/ConvNeXt_Base.pth,torchvision,TargetMatching,asymmetric,3.0,3,0.0001,1.0,True
teacher_fs_pre,0.8253473684210526,0.8234440635528602,0.0002566023757559335,0.7005890305363295,0.03136604651808739,0.8558362769154388,0.05106216778454791,0.034833891584883814,0.8455578947368421,0.8176842105263158,0.7861263157894737,0.7543157894736842,0.7172,0.6733052631578947,0.6029473684210527,0.47976842105263157,0.16349473684210528,0.03374736842105263,imagenet,/localscratch/timz.64290565.0/data/ind,convnext_base,checkpoints/imagenet/ff/ConvNeXt_Base.pth,torchvision,convnext_tiny,checkpoints/imagenet/ff/ConvNeXt_Tiny.pth,torchvision,convnext_base,checkpoints/imagenet/ff/ConvNeXt_Base.pth,torchvision,TargetMatching,asymmetric,3.0,3,0.0001,1.0,True
student_post,0.8405473684210526,0.8385571415256927,0.00023859017226908843,0.6587374456679346,0.03619958460330963,0.8529017906126068,0.047378823679818174,0.03392924768193681,0.8754736842105263,0.8508421052631578,0.8234947368421053,0.7917684210526316,0.7561473684210527,0.7118526315789474,0.6446315789473684,0.510421052631579,0.13633684210526315,0.005536842105263158,imagenet,/localscratch/timz.64290565.0/data/ind,convnext_base,checkpoints/imagenet/ff/ConvNeXt_Base.pth,torchvision,convnext_tiny,checkpoints/imagenet/ff/ConvNeXt_Tiny.pth,torchvision,convnext_base,checkpoints/imagenet/ff/ConvNeXt_Base.pth,torchvision,TargetMatching,asymmetric,3.0,3,0.0001,1.0,True
