evaluatee,Acc,F1,Brier,NLL,ECE,CP_AUROC,AURC,E-AURC,SAC@90,SAC@91,SAC@92,SAC@93,SAC@94,SAC@95,SAC@96,SAC@97,SAC@98,SAC@99,dataset_name,dataset_dir,teacher_fl_name,teacher_fl_path,teacher_fl_source,teacher_fs_name,teacher_fs_path,teacher_fs_source,student_name,student_path,student_source,distillation_method,duo_mode,temperature,epochs,lr,soft_target_loss_weight,use_multi_transform
student_pre,0.8199157894736843,0.8174705634001175,0.00026094026286477756,0.7186179440833727,0.028668643906712532,0.8625130005310255,0.051272746166738735,0.03398390432960292,0.8358526315789474,0.8092,0.781157894736842,0.7519789473684211,0.7141894736842105,0.6734526315789474,0.6148842105263158,0.513621052631579,0.2416421052631579,0.007115789473684211,imagenet,/localscratch/timz.64583780.0/data/ind,convnext_base,checkpoints/imagenet/ff/ConvNeXt_Base.pth,torchvision,efficientnet_b3,checkpoints/imagenet/ff/EfficientNet_B3.pth,torchvision,efficientnet_b3,checkpoints/imagenet/ff/EfficientNet_B3.pth,torchvision,TargetMatching,asymmetric,3.0,5,0.0003,1.0,True
duo_teacher_pre,0.8430736842105263,0.8410853138719833,0.0002316296789361729,0.6187949098912382,0.03631414473056793,0.8690309186426487,0.040871654621344296,0.0278571385468665,0.8842526315789474,0.8588631578947369,0.8336631578947369,0.8048631578947368,0.7746736842105263,0.7356631578947368,0.6863578947368421,0.6122315789473685,0.4560421052631579,0.019957894736842105,imagenet,/localscratch/timz.64583780.0/data/ind,convnext_base,checkpoints/imagenet/ff/ConvNeXt_Base.pth,torchvision,efficientnet_b3,checkpoints/imagenet/ff/EfficientNet_B3.pth,torchvision,efficientnet_b3,checkpoints/imagenet/ff/EfficientNet_B3.pth,torchvision,TargetMatching,asymmetric,3.0,5,0.0003,1.0,True
teacher_fl_pre,0.8348421052631579,0.8328983762670842,0.00024336542420749866,0.6676042622315363,0.033275146037340164,0.8580719621329249,0.047510152256636566,0.03305009439584973,0.8681052631578947,0.843221052631579,0.8133263157894737,0.7821684210526316,0.7467789473684211,0.6998105263157894,0.633957894736842,0.5159157894736842,0.2403157894736842,0.002294736842105263,imagenet,/localscratch/timz.64583780.0/data/ind,convnext_base,checkpoints/imagenet/ff/ConvNeXt_Base.pth,torchvision,efficientnet_b3,checkpoints/imagenet/ff/EfficientNet_B3.pth,torchvision,efficientnet_b3,checkpoints/imagenet/ff/EfficientNet_B3.pth,torchvision,TargetMatching,asymmetric,3.0,5,0.0003,1.0,True
teacher_fs_pre,0.8199157894736843,0.8174705634001175,0.00026094026286477756,0.7186179440833727,0.028668643906712532,0.8625130005310255,0.051272746166738735,0.03398390432960292,0.8358526315789474,0.8092,0.781157894736842,0.7519789473684211,0.7141894736842105,0.6734526315789474,0.6148842105263158,0.513621052631579,0.2416421052631579,0.007115789473684211,imagenet,/localscratch/timz.64583780.0/data/ind,convnext_base,checkpoints/imagenet/ff/ConvNeXt_Base.pth,torchvision,efficientnet_b3,checkpoints/imagenet/ff/EfficientNet_B3.pth,torchvision,efficientnet_b3,checkpoints/imagenet/ff/EfficientNet_B3.pth,torchvision,TargetMatching,asymmetric,3.0,5,0.0003,1.0,True
student_pre,0.8199157894736843,0.8174705634001175,0.00026094026286477756,0.7186179440833727,0.028668643906712532,0.8625130005310255,0.051272746166738735,0.03398390432960292,0.8358526315789474,0.8092,0.781157894736842,0.7519789473684211,0.7141894736842105,0.6734526315789474,0.6148842105263158,0.513621052631579,0.2416421052631579,0.007115789473684211,imagenet,/localscratch/timz.64583781.0/data/ind,convnext_base,checkpoints/imagenet/ff/ConvNeXt_Base.pth,torchvision,efficientnet_b3,checkpoints/imagenet/ff/EfficientNet_B3.pth,torchvision,efficientnet_b3,checkpoints/imagenet/ff/EfficientNet_B3.pth,torchvision,TargetMatching,asymmetric,3.0,5,0.0003,0.5,True
duo_teacher_pre,0.8430736842105263,0.8410853138719833,0.0002316296789361729,0.6187949098912382,0.03631414473056793,0.8690309186426487,0.040871654621344296,0.0278571385468665,0.8842526315789474,0.8588631578947369,0.8336631578947369,0.8048631578947368,0.7746736842105263,0.7356631578947368,0.6863578947368421,0.6122315789473685,0.4560421052631579,0.019957894736842105,imagenet,/localscratch/timz.64583781.0/data/ind,convnext_base,checkpoints/imagenet/ff/ConvNeXt_Base.pth,torchvision,efficientnet_b3,checkpoints/imagenet/ff/EfficientNet_B3.pth,torchvision,efficientnet_b3,checkpoints/imagenet/ff/EfficientNet_B3.pth,torchvision,TargetMatching,asymmetric,3.0,5,0.0003,0.5,True
teacher_fl_pre,0.8348421052631579,0.8328983762670842,0.00024336542420749866,0.6676042622315363,0.033275146037340164,0.8580719621329249,0.047510152256636566,0.03305009439584973,0.8681052631578947,0.843221052631579,0.8133263157894737,0.7821684210526316,0.7467789473684211,0.6998105263157894,0.633957894736842,0.5159157894736842,0.2403157894736842,0.002294736842105263,imagenet,/localscratch/timz.64583781.0/data/ind,convnext_base,checkpoints/imagenet/ff/ConvNeXt_Base.pth,torchvision,efficientnet_b3,checkpoints/imagenet/ff/EfficientNet_B3.pth,torchvision,efficientnet_b3,checkpoints/imagenet/ff/EfficientNet_B3.pth,torchvision,TargetMatching,asymmetric,3.0,5,0.0003,0.5,True
teacher_fs_pre,0.8199157894736843,0.8174705634001175,0.00026094026286477756,0.7186179440833727,0.028668643906712532,0.8625130005310255,0.051272746166738735,0.03398390432960292,0.8358526315789474,0.8092,0.781157894736842,0.7519789473684211,0.7141894736842105,0.6734526315789474,0.6148842105263158,0.513621052631579,0.2416421052631579,0.007115789473684211,imagenet,/localscratch/timz.64583781.0/data/ind,convnext_base,checkpoints/imagenet/ff/ConvNeXt_Base.pth,torchvision,efficientnet_b3,checkpoints/imagenet/ff/EfficientNet_B3.pth,torchvision,efficientnet_b3,checkpoints/imagenet/ff/EfficientNet_B3.pth,torchvision,TargetMatching,asymmetric,3.0,5,0.0003,0.5,True
student_pre,0.8199157894736843,0.8174705634001175,0.00026094026286477756,0.7186179440833727,0.028668643906712532,0.8625130005310255,0.051272746166738735,0.03398390432960292,0.8358526315789474,0.8092,0.781157894736842,0.7519789473684211,0.7141894736842105,0.6734526315789474,0.6148842105263158,0.513621052631579,0.2416421052631579,0.007115789473684211,imagenet,/localscratch/timz.64583782.0/data/ind,convnext_base,checkpoints/imagenet/ff/ConvNeXt_Base.pth,torchvision,efficientnet_b3,checkpoints/imagenet/ff/EfficientNet_B3.pth,torchvision,efficientnet_b3,checkpoints/imagenet/ff/EfficientNet_B3.pth,torchvision,TargetMatching,asymmetric,3.0,5,3e-05,0.5,True
duo_teacher_pre,0.8430736842105263,0.8410853138719833,0.0002316296789361729,0.6187949098912382,0.03631414473056793,0.8690309186426487,0.040871654621344296,0.0278571385468665,0.8842526315789474,0.8588631578947369,0.8336631578947369,0.8048631578947368,0.7746736842105263,0.7356631578947368,0.6863578947368421,0.6122315789473685,0.4560421052631579,0.019957894736842105,imagenet,/localscratch/timz.64583782.0/data/ind,convnext_base,checkpoints/imagenet/ff/ConvNeXt_Base.pth,torchvision,efficientnet_b3,checkpoints/imagenet/ff/EfficientNet_B3.pth,torchvision,efficientnet_b3,checkpoints/imagenet/ff/EfficientNet_B3.pth,torchvision,TargetMatching,asymmetric,3.0,5,3e-05,0.5,True
teacher_fl_pre,0.8348421052631579,0.8328983762670842,0.00024336542420749866,0.6676042622315363,0.033275146037340164,0.8580719621329249,0.047510152256636566,0.03305009439584973,0.8681052631578947,0.843221052631579,0.8133263157894737,0.7821684210526316,0.7467789473684211,0.6998105263157894,0.633957894736842,0.5159157894736842,0.2403157894736842,0.002294736842105263,imagenet,/localscratch/timz.64583782.0/data/ind,convnext_base,checkpoints/imagenet/ff/ConvNeXt_Base.pth,torchvision,efficientnet_b3,checkpoints/imagenet/ff/EfficientNet_B3.pth,torchvision,efficientnet_b3,checkpoints/imagenet/ff/EfficientNet_B3.pth,torchvision,TargetMatching,asymmetric,3.0,5,3e-05,0.5,True
