Acc,F1,Brier,NLL,ECE,CP_AUROC,AURC,E-AURC,SAC@90,SAC@91,SAC@92,SAC@93,SAC@94,SAC@95,SAC@96,SAC@97,SAC@98,SAC@99,model,wrapper,source,uncertainty_type,gflops,model_type
0.9033101045296167,0.8913933653259343,0.0005454128004660669,0.3829715251889491,0.011326273903250694,0.9254614728035654,0.013639580468231969,0.008796191946799157,1.0,0.9897648083623694,0.9736498257839721,0.9568815331010453,0.9377177700348432,0.9174651567944251,0.89198606271777,0.8556184668989547,0.802918118466899,0.6892421602787456,EfficientNet_B2,TempScaleWrapper,torchvision,softmax_response,1.09,standard
0.9157229965156795,0.9066125545954218,0.00047124673761692824,0.33078160564700043,0.012273159809410572,0.9320103113372478,0.011351241409194742,0.007686565236219495,1.0,1.0,0.9943379790940766,0.9804006968641115,0.9640679442508711,0.9416376306620209,0.9209494773519163,0.8885017421602788,0.8466898954703833,0.7863675958188153,EfficientNet_B3,TempScaleWrapper,torchvision,softmax_response,1.83,standard
0.9270470383275261,0.9191360906154181,0.00041842029678805775,0.288387749684041,0.017334386706352234,0.9393424000504875,0.008256365241093081,0.005520175085210485,1.0,1.0,1.0,0.9945557491289199,0.9793118466898955,0.9603658536585366,0.939677700348432,0.9159407665505227,0.8797909407665505,0.8238240418118467,EfficientNet_B4,TempScaleWrapper,torchvision,softmax_response,4.39,standard
0.9274825783972126,0.9213894641910688,0.00042844442313287915,0.2905664659352944,0.00993562862277031,0.9333494095175241,0.008348238112196649,0.005644985664592671,1.0,1.0,1.0,0.9967334494773519,0.9804006968641115,0.9627613240418118,0.9355400696864111,0.9043989547038328,0.8612804878048781,0.7987804878048781,EfficientNet_V2_S,TempScaleWrapper,torchvision,softmax_response,8.37,standard
0.7998693379790941,0.7782676659644885,0.0010776338673473284,0.8113419598702442,0.019050253555178642,0.9111040866103173,0.04077318853576676,0.01923707307792907,0.8240418118466899,0.8035714285714286,0.7726480836236934,0.7497822299651568,0.7310540069686411,0.7092770034843205,0.6777003484320557,0.6476480836236934,0.5927700348432056,0.4834494773519164,MNASNet0_5,TempScaleWrapper,torchvision,softmax_response,0.1,standard
0.8453832752613241,0.8267371192309829,0.0008452368094197662,0.6239107739247576,0.014218256808817387,0.9127740165879357,0.02801788740008731,0.015379277705075882,0.9074477351916377,0.8871951219512195,0.868684668989547,0.8464721254355401,0.819904181184669,0.7950783972125436,0.765897212543554,0.7247386759581882,0.6515679442508711,0.5030487804878049,MNASNet0_75,TempScaleWrapper,torchvision,softmax_response,0.21,standard
0.8571428571428571,0.839927751204035,0.0008038818689159898,0.5860973490871091,0.013920731842517853,0.9117112364911758,0.024919110331552204,0.014175567832803136,0.9263937282229965,0.9081010452961672,0.8867595818815331,0.8638937282229965,0.8392857142857143,0.8077090592334495,0.7796167247386759,0.7343205574912892,0.6898954703832753,0.5524825783972126,MNASNet1_0,TempScaleWrapper,torchvision,softmax_response,0.31,standard
0.8619337979094077,0.8470821628315095,0.0007636795404854839,0.5440651720451971,0.01254305336624384,0.9111283619965473,0.024162018718462186,0.014144160173564305,0.9348867595818815,0.9126742160278746,0.8939459930313589,0.8695557491289199,0.8464721254355401,0.8233885017421603,0.7985627177700348,0.7552264808362369,0.6872822299651568,0.525479094076655,MNASNet1_3,TempScaleWrapper,torchvision,softmax_response,0.53,standard
0.9170296167247387,0.906882731219353,0.0004853864146830773,0.34893536547661785,0.005854748655110598,0.9231384369520896,0.011805702624782317,0.008255273592031986,1.0,1.0,0.9960801393728222,0.9786585365853658,0.9597125435540069,0.9381533101045296,0.9148519163763066,0.883493031358885,0.8347125435540069,0.7439024390243902,RegNet_X_16GF,TempScaleWrapper,torchvision,softmax_response,15.94,standard
0.883493031358885,0.869722338174235,0.0006470906912676502,0.46436572888055505,0.007892562076449394,0.9250198687396192,0.017229089381742977,0.010149374019838644,0.9758275261324042,0.9592770034843205,0.9412020905923345,0.9233449477351916,0.8991724738675958,0.8752177700348432,0.8418989547038328,0.8116289198606271,0.7541376306620209,0.6674651567944251,RegNet_X_1_6GF,TempScaleWrapper,torchvision,softmax_response,1.6,standard
0.929006968641115,0.9198730256624249,0.00041504506885248416,0.2945042875178529,0.010419387370347977,0.9337851869109149,0.007976566407915144,0.005386985919545871,1.0,1.0,1.0,0.9980400696864111,0.9825783972125436,0.9649390243902439,0.939677700348432,0.913109756097561,0.8726045296167247,0.7996515679442509,ConvNeXt_Base,TempScaleWrapper,torchvision,softmax_response,15.36,standard
0.9187717770034843,0.9101248170547636,0.000466676144707098,0.32910880327695197,0.009605727158486843,0.9276835228352271,0.010957483168478978,0.00755648809746369,1.0,1.0,0.9980400696864111,0.9821428571428571,0.9640679442508711,0.9440331010452961,0.922691637630662,0.8893728222996515,0.8519163763066202,0.7756968641114983,RegNet_X_32GF,TempScaleWrapper,torchvision,softmax_response,31.74,standard
0.929006968641115,0.9201921948123277,0.0004160266011227419,0.2801896559823217,0.017463140189647675,0.9348871372731744,0.007727948992888556,0.005138368504519284,1.0,1.0,1.0,0.9986933797909407,0.9821428571428571,0.9590592334494773,0.9379355400696864,0.9122386759581882,0.8741289198606271,0.7983449477351916,ConvNeXt_Small,TempScaleWrapper,torchvision,softmax_response,8.68,standard
