Acc,F1,Brier,NLL,ECE,CP_AUROC,AURC,E-AURC,SAC@90,SAC@91,SAC@92,SAC@93,SAC@94,SAC@95,SAC@96,SAC@97,SAC@98,SAC@99,model,wrapper,source,uncertainty_type,gflops,model_type
0.5439,0.5395090975784063,0.0005944773581313,2.1229671142063493,0.0601909905672073,0.8363241692085617,0.208505064788703,0.0836118525492948,0.3137,0.2927,0.2765,0.2544,0.2252,0.1983,0.1356,0.1041,0.0807,0.0126,MNASNet0_5,TempScaleWrapper,torchvision,softmax_response,0.1,standard
0.587,0.5820799311667589,0.0005466883001644,1.8170683566427688,0.0577179826796054,0.8347426690481003,0.1797342838239399,0.079426414277843,0.3675,0.3448,0.3181,0.296,0.2743,0.2349,0.1858,0.0957,0.0617,0.0016,MNASNet0_75,TempScaleWrapper,torchvision,softmax_response,0.21,standard
0.6042,0.5999735942683101,0.0005200350895417,1.733232813090661,0.0347170419991016,0.849409427087698,0.1597119103689517,0.0683182973045494,0.4205,0.3994,0.3713,0.3439,0.3167,0.2844,0.2381,0.2016,0.1478,0.0209,MNASNet1_0,TempScaleWrapper,torchvision,softmax_response,0.31,standard
0.65,0.6454318775253225,0.0004849056807655,1.5618971983549872,0.0691294968128204,0.8268272307692308,0.145423446055283,0.0754148422557629,0.4505,0.4199,0.3839,0.3404,0.2918,0.2063,0.1261,0.0605,0.0229,0.0006,MNASNet1_3,TempScaleWrapper,torchvision,softmax_response,0.53,standard
0.7159,0.7122671171728228,0.0004011815597107,1.3060369827528004,0.080708771944046,0.848501520670992,0.1041085274496443,0.0592586887297173,0.6198,0.5845,0.538,0.502,0.4604,0.3305,0.1483,0.0024,0.0024,0.0024,RegNet_X_16GF,TempScaleWrapper,torchvision,softmax_response,15.94,standard
0.6765,0.673344512743594,0.0004504019702818,1.4377347325652263,0.0855019837617874,0.8410230856839973,0.1261154823241224,0.0669909534148835,0.5205,0.4882,0.4467,0.4063,0.3436,0.2926,0.1715,0.0343,0.0028,0.0028,RegNet_X_1_6GF,TempScaleWrapper,torchvision,softmax_response,1.6,standard
0.7201,0.7162507763414069,0.0003981434525477,1.2828467780692667,0.0761429071426391,0.8447642017486059,0.1041823016683288,0.0607240789079323,0.6244,0.5856,0.5522,0.4949,0.4258,0.3292,0.1784,0.0074,0.0019,0.0019,RegNet_X_32GF,TempScaleWrapper,torchvision,softmax_response,31.74,standard
0.6936,0.6900499488865834,0.0004331895688584,1.384195176018136,0.0963964089751243,0.8464373827399183,0.11471579762383,0.0620608726458533,0.5701,0.5438,0.504,0.464,0.4241,0.3596,0.2154,0.0074,0.0025,0.0025,RegNet_X_3_2GF,TempScaleWrapper,torchvision,softmax_response,3.18,standard
0.6198,0.6152775331679166,0.0005119782256679,1.6951053239681306,0.0786768347024917,0.8415512911717972,0.1577589165270059,0.0740264645179632,0.4287,0.4024,0.376,0.3462,0.3086,0.2411,0.1316,0.0109,0.0066,0.0017,RegNet_X_400MF,TempScaleWrapper,torchvision,softmax_response,0.41,standard
0.656,0.6525129045537682,0.0004764798697377,1.567892643841296,0.0976355373859405,0.8420423948879749,0.1362380038215689,0.0687867900101869,0.4952,0.4678,0.4306,0.3853,0.3389,0.2809,0.114,0.0348,0.0036,0.0036,RegNet_X_800MF,TempScaleWrapper,torchvision,softmax_response,0.8,standard
