Acc,F1,Brier,NLL,ECE,CP_AUROC,AURC,E-AURC,SAC@90,SAC@91,SAC@92,SAC@93,SAC@94,SAC@95,SAC@96,SAC@97,SAC@98,SAC@99,model_large,model_small,mode,wrapper,uncertainty_type,gflops_large,gflops_small,gflops_balance,split
0.7807211184694628,0.4586948952711619,0.0016203207530912599,0.849018684563846,0.024103010073304176,0.9077464540016489,0.05034732880092743,0.024312580424701948,0.7985038018150601,0.7815795928378709,0.7609762079960756,0.741476575913662,0.7238165317635517,0.7018641157714005,0.6790532254108413,0.6266862889379445,0.5504047093451067,0.235467255334805,Swin_V2_B,ConvNeXt_Small,logit_average,DuoWrapper,softmax_response,20.32,8.68,0.42717,test
0.7807211184694628,0.4586948952711619,0.0016203207530912599,0.849018684563846,0.024103010073304176,0.9003463941900518,0.0521788134478806,0.026144065071655113,0.7977679666421388,0.7839097375521217,0.7639195486877606,0.7326465538386068,0.7076281579592838,0.6725533480500367,0.6428746627422124,0.6046112337503066,0.517046848172676,0.24307088545499142,Swin_V2_B,ConvNeXt_Small,logit_average,DuoWrapper,entropy,20.32,8.68,0.42717,test
0.7608535688005886,0.43334151723785996,0.0016203207530912599,0.849018684563846,0.024103010073304176,0.9160733769776324,0.05502693650918318,0.023818047153066263,0.7794947265145941,0.7607309296051018,0.7460142261466765,0.7292126563649742,0.7081187147412313,0.6902133922001472,0.6669119450576404,0.6174883492764287,0.5504047093451067,0.235467255334805,Swin_V2_B,ConvNeXt_Small,dictatorial_avguncertainty,DuoWrapper,softmax_response,20.32,8.68,0.42717,test
0.7608535688005886,0.43334151723785996,0.0016203207530912599,0.849018684563846,0.024103010073304176,0.9063200747243301,0.05758190856697098,0.02637301921085406,0.7711552612214864,0.751532989943586,0.7300711307333824,0.7084866323276919,0.6855531027716458,0.6553838606818739,0.6331861662987491,0.5949227373068433,0.5163110129997547,0.24307088545499142,Swin_V2_B,ConvNeXt_Small,dictatorial_avguncertainty,DuoWrapper,entropy,20.32,8.68,0.42717,test
0.7608535688005886,0.43334151723785996,0.0016146391351266377,0.8462847743283007,0.025775643065571785,0.9160117955330721,0.05498243018635189,0.023773540830234974,0.780598479273976,0.7620799607554575,0.7455236693647289,0.7281089036055923,0.7105714986509688,0.6856757419671327,0.6649497179298504,0.6217807211184695,0.5458670591120922,0.25104243316163843,Swin_V2_B,ConvNeXt_Small,dictatorial_weighteduncertainty,DuoWrapper,softmax_response,20.32,8.68,0.42717,test
0.7608535688005886,0.43334151723785996,0.0016146391351266377,0.8462847743283007,0.025775643065571785,0.9075623253814744,0.05716289281419532,0.025954003458078405,0.7761834682364483,0.7547216090262447,0.7309296051017905,0.7103262202599951,0.6832229580573952,0.6566102526367427,0.6360068677949473,0.6010546970811872,0.5230561687515329,0.24932548442482216,Swin_V2_B,ConvNeXt_Small,dictatorial_weighteduncertainty,DuoWrapper,entropy,20.32,8.68,0.42717,test
0.7826833455972528,0.4592887042273956,0.0016146391351266377,0.8462847743283007,0.025775643065571785,0.9066579307773767,0.049851749930652306,0.024300382407487005,0.8041452048074564,0.7855040470934511,0.7642874662742213,0.7457689477557027,0.7227127790041697,0.7019867549668874,0.6772136374785381,0.6297522688251165,0.5446406671572235,0.25104243316163843,Swin_V2_B,ConvNeXt_Small,temperature_weighted,DuoWrapper,softmax_response,20.32,8.68,0.42717,test
0.7826833455972528,0.4592887042273956,0.0016146391351266377,0.8462847743283007,0.025775643065571785,0.8999465819145691,0.05146162425949355,0.025910256736328248,0.7989943585970076,0.7864851606573461,0.7723816531763552,0.7365710080941869,0.710448859455482,0.6751287711552613,0.6482707873436351,0.6070640176600441,0.5278390973755213,0.24932548442482216,Swin_V2_B,ConvNeXt_Small,temperature_weighted,DuoWrapper,entropy,20.32,8.68,0.42717,test
0.7817022320333579,0.46076936121623746,0.0016381564963034044,0.855743642371168,0.023579895496368408,0.9017384969838846,0.051303045155125945,0.025510602902837177,0.7869757174392936,0.7688251165072357,0.7493254844248222,0.7317880794701986,0.7127790041697326,0.6942604856512141,0.6734118224184449,0.6299975472160902,0.5284522933529556,0.2392690703948982,Swin_V2_B,ConvNeXt_Tiny,logit_average,DuoWrapper,softmax_response,20.32,4.46,0.21949,test
0.7817022320333579,0.46076936121623746,0.0016381564963034044,0.855743642371168,0.023579895496368408,0.8952851383605447,0.053017828099282245,0.027225385846993477,0.782560706401766,0.7622025999509443,0.7452783909737553,0.7283541819965661,0.7093451066961001,0.6854304635761589,0.6534216335540839,0.5936963453519745,0.48491537895511405,0.2463821437331371,Swin_V2_B,ConvNeXt_Tiny,logit_average,DuoWrapper,entropy,20.32,4.46,0.21949,test
0.7608535688005886,0.43334151723785996,0.0016381564963034044,0.855743642371168,0.023579895496368408,0.9141357932847294,0.055462977961259534,0.024254088605142617,0.7717684571989207,0.7514103507480991,0.7376747608535688,0.7184204071621291,0.702354672553348,0.6871474123129753,0.6675251410350748,0.6279126808928134,0.5284522933529556,0.2392690703948982,Swin_V2_B,ConvNeXt_Tiny,dictatorial_avguncertainty,DuoWrapper,softmax_response,20.32,4.46,0.21949,test
0.7608535688005886,0.43334151723785996,0.0016381564963034044,0.855743642371168,0.023579895496368408,0.9068858387475409,0.05750559489844106,0.02629670554232414,0.7630610743193524,0.7454010301692421,0.7322786362521462,0.7132695609516801,0.6935246504782928,0.6701005641402993,0.6427520235467256,0.5895266127054206,0.48491537895511405,0.2463821437331371,Swin_V2_B,ConvNeXt_Tiny,dictatorial_avguncertainty,DuoWrapper,entropy,20.32,4.46,0.21949,test
