Acc,F1,Brier,NLL,ECE,CP_AUROC,AURC,E-AURC,SAC@90,SAC@91,SAC@92,SAC@93,SAC@94,SAC@95,SAC@96,SAC@97,SAC@98,SAC@99,model_large,model_small,mode,wrapper,uncertainty_type,gflops_large,gflops_small,gflops_balance,split
0.768946741137155,0.3543727165229922,0.0016935877604124297,0.930930128971701,0.05301103740930557,0.9292085448869084,0.04738778243197937,0.018359945608809023,0.8046785539015213,0.7901661564347643,0.7753265873665023,0.7592484400925428,0.7399453156037484,0.7114346474725993,0.6740436073006006,0.6258559042789371,0.5776448318571662,0.49435628987403896,Swin_V2_B,ConvNeXt_Small,logit_average,DuoWrapper,softmax_response,20.32,8.68,0.42717,ood_test
0.768946741137155,0.3543727165229922,0.0016935877604124297,0.930930128971701,0.05301103740930557,0.9224078918917245,0.04925604502513642,0.02022820820196607,0.8041644270991564,0.7891145334299269,0.7731298637563974,0.7560000934776004,0.7356920847841836,0.706503704049917,0.6534551658058938,0.6031174779743403,0.5518917529387021,0.4518473510784978,Swin_V2_B,ConvNeXt_Small,logit_average,DuoWrapper,entropy,20.32,8.68,0.42717,ood_test
0.7494332920473932,0.3108430275911498,0.0016935877604124297,0.930930128971701,0.05301103740930557,0.9341481951552782,0.05267930588082629,0.018274686571958722,0.783739571405202,0.770816293145755,0.7563038956789979,0.7402257484050384,0.7202682807132341,0.6913603327802575,0.6580589376270711,0.61321305882078,0.5694655418195415,0.48739220864200417,Swin_V2_B,ConvNeXt_Small,dictatorial_avguncertainty,DuoWrapper,softmax_response,20.32,8.68,0.42717,ood_test
0.7494332920473932,0.3108430275911498,0.0016935877604124297,0.930930128971701,0.05301103740930557,0.9261969048982581,0.054974195709683794,0.020569576400816227,0.7813558925942371,0.7675679465308125,0.7525881610619055,0.7348274169802061,0.7116216026734594,0.6807506251314529,0.6354373583230118,0.5883480171064008,0.5426141010960248,0.44219578883410066,Swin_V2_B,ConvNeXt_Small,dictatorial_avguncertainty,DuoWrapper,entropy,20.32,8.68,0.42717,ood_test
0.7494332920473932,0.3108430275911498,0.0016886551064458721,0.9291191477892486,0.049938105046749115,0.9319541437851296,0.0532901878809619,0.018885568572094336,0.7816129559954196,0.7678250099319951,0.7537098922670655,0.7368371853894511,0.7171601504989367,0.6877614451637026,0.6513519197962189,0.6101984062069127,0.5600009347760043,0.4683227781542848,Swin_V2_B,ConvNeXt_Small,dictatorial_weighteduncertainty,DuoWrapper,softmax_response,20.32,8.68,0.42717,ood_test
0.7494332920473932,0.3108430275911498,0.0016886551064458721,0.9291191477892486,0.049938105046749115,0.9253591117348516,0.055227120170002704,0.020822500861135136,0.7813325231941296,0.7666098011264051,0.7520974036596481,0.7342665513776261,0.7114346474725993,0.6804234535299479,0.6339650861162394,0.5881376925054334,0.5338973148559276,0.4303475029795985,Swin_V2_B,ConvNeXt_Small,dictatorial_weighteduncertainty,DuoWrapper,entropy,20.32,8.68,0.42717,ood_test
0.769133696338015,0.3524824069679106,0.0016886551064458721,0.9291191477892486,0.049938105046749115,0.9291843588657565,0.047384436341466184,0.018405698384475217,0.8051459419036713,0.7899792012339043,0.7749059381645673,0.7581033394872754,0.7398752074034259,0.7140286508845318,0.6757729429085555,0.6248276506742072,0.5725736720338389,0.48185366081652686,Swin_V2_B,ConvNeXt_Small,temperature_weighted,DuoWrapper,softmax_response,20.32,8.68,0.42717,ood_test
0.769133696338015,0.3524824069679106,0.0016886551064458721,0.9291191477892486,0.049938105046749115,0.9233227106939028,0.04901068908053417,0.020031951123543206,0.8063377813091538,0.7912878876399243,0.7762613633708023,0.7594821340936179,0.738987170199341,0.7108036736696969,0.6605594634385735,0.6015750975672455,0.5446939777055922,0.43789581921432075,Swin_V2_B,ConvNeXt_Small,temperature_weighted,DuoWrapper,entropy,20.32,8.68,0.42717,ood_test
0.7647168797176976,0.3237223465492365,0.0016879343032984212,0.9264451724887014,0.037598151713609695,0.9287849848363585,0.04833106038313395,0.018180192238333632,0.7946530812554041,0.7790890607838097,0.7638522119137202,0.7489892734453507,0.7331214507723587,0.7148699492884018,0.6888364375686477,0.6448318571662266,0.5727606272346989,0.5002921175013437,Swin_V2_B,ConvNeXt_Tiny,logit_average,DuoWrapper,softmax_response,20.32,4.46,0.21949,ood_test
0.7647168797176976,0.3237223465492365,0.0016879343032984212,0.9264451724887014,0.037598151713609695,0.9234825364582842,0.04968628020141913,0.019535412056618812,0.7935313500502442,0.7781075459792947,0.7615152719029703,0.7451566918277208,0.7267182351429039,0.7037928536374471,0.6768479353135005,0.6293379448949545,0.5693720642191115,0.48680797363931666,Swin_V2_B,ConvNeXt_Tiny,logit_average,DuoWrapper,entropy,20.32,4.46,0.21949,ood_test
0.7494332920473932,0.3108430275911498,0.0016879343032984212,0.9264451724887014,0.037598151713609695,0.9333032824804197,0.05234160008328337,0.0179369807744158,0.7787852585824122,0.7641560141151177,0.7502044822509406,0.7359024093851511,0.7208057769157066,0.7008950480241172,0.6749316445046856,0.6346427987193569,0.570844336425884,0.4996845130985488,Swin_V2_B,ConvNeXt_Tiny,dictatorial_avguncertainty,DuoWrapper,softmax_response,20.32,4.46,0.21949,ood_test
